ID,Name,Date,Time,Event,Status,Latitude,Longitude,Maximum Wind,Minimum Pressure,Low Wind NE,Low Wind SE,Low Wind SW,Low Wind NW,Moderate Wind NE,Moderate Wind SE,Moderate Wind SW,Moderate Wind NW,High Wind NE,High Wind SE,High Wind SW,High Wind NW,Lat_Lon_Combined,geo_data,address,country,country_code,locality,county,state,house_number,road,postcode,place,suburb,city,state_district,town,hamlet,village,archipelago,city_district,amenity,region,building,municipality,neighbourhood,tourism,leisure,aeroway,residential,highway,township,island,landuse,farm,shop,man_made,isolated_dwelling,quarter,yes,historic,province,subdivision,department,industrial,farmyard,borough,club,office,Lat Split,Long Split
AL011851,            UNNAMED,18510628,0,  , TS,31.0N,100.2W,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"31.0N, 100.2W","{'place_id': 104680854, 'licence': 'Data Â© OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 21233614, 'lat': '31.000007470760938', 'lon': '-100.20129493189945', 'display_name': '3342, Schleicher County, Texas, United States', 'address': {'road': '3342', 'county': 'Schleicher County', 'state': 'Texas', 'country': 'United States', 'country_code': 'us'}, 'boundingbox': ['30.990369', '31.00812', '-100.206563', '-100.192597']}","{'road': '3342', 'county': 'Schleicher County', 'state': 'Texas', 'country': 'United States', 'country_code': 'us'}",United States,us,,Schleicher County,Texas,,3342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,-100.2
AL041851,            UNNAMED,18510823,2100, L, HU,30.1N,85.7W,100,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"30.1N, 85.7W","{'place_id': 325357, 'licence': 'Data Â© OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'node', 'osm_id': 153458883, 'lat': '30.1609017', 'lon': '-85.7442078', 'display_name': 'Upper Grand Lagoon, Bay County, Florida, 32411, United States', 'address': {'town': 'Upper Grand Lagoon', 'county': 'Bay County', 'state': 'Florida', 'postcode': '32411', 'country': 'United States', 'country_code': 'us'}, 'boundingbox': ['30.1209017', '30.2009017', '-85.7842078', '-85.7042078']}","{'town': 'Upper Grand Lagoon', 'county': 'Bay County', 'state': 'Florida', 'postcode': '32411', 'country': 'United States', 'country_code': 'us'}",United States,us,,Bay County,Florida,,,32411,,,,,Upper Grand Lagoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.1,-85.7
AL041851,            UNNAMED,18510824,0,  , HU,30.7N,85.1W,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"30.7N, 85.1W","{'place_id': 282509453, 'licence': 'Data Â© OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 1210687, 'lat': '30.8013861', 'lon': '-85.2063186', 'display_name': 'Jackson County, Florida, United States', 'address': {'county': 'Jackson County', 'state': 'Florida', 'country': 'United States', 'country_code': 'us'}, 'boundingbox': ['30.564336', '31.000968', '-85.600291', '-84.8580774']}","{'county': 'Jackson County', 'state': 'Florida', 'country': 'United States', 'country_code': 'us'}",United States,us,,Jackson County,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.7,-85.1
AL041851,            UNNAMED,18510824,600,  , HU,31.6N,84.1W,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"31.6N, 84.1W","{'place_id': 98552896, 'licence': 'Data Â© OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 9183957, 'lat': '31.6011381268081', 'lon': '-84.09982295805207', 'display_name': 'Hunter Street, Turner City, Albany, Dougherty County, Georgia, 31705, United States', 'address': {'road': 'Hunter Street', 'hamlet': 'Turner City', 'city': 'Albany', 'county': 'Dougherty County', 'state': 'Georgia', 'postcode': '31705', 'country': 'United States', 'country_code': 'us'}, 'boundingbox': ['31.601126', '31.602386', '-84.101787', '-84.098297']}","{'road': 'Hunter Street', 'hamlet': 'Turner City', 'city': 'Albany', 'county': 'Dougherty County', 'state': 'Georgia', 'postcode': '31705', 'country': 'United States', 'country_code': 'us'}",United States,us,,Dougherty County,Georgia,,Hunter Street,31705,,,Albany,,,Turner City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.6,-84.1
AL041851,            UNNAMED,18510824,1200,  , TS,32.5N,83.0W,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"32.5N, 83.0W","{'place_id': 276947599, 'licence': 'Data Â© OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 952719790, 'lat': '32.501640222692565', 'lon': '-82.99972865682781', 'display_name': 'James L Gillis Sr Memorial Highway, Laurens County, Georgia, 31019:31021, United States', 'address': {'road': 'James L Gillis Sr Memorial Highway', 'county': 'Laurens County', 'state': 'Georgia', 'postcode': '31019:31021', 'country': 'United States', 'country_code': 'us'}, 'boundingbox': ['32.50094', '32.5029158', '-83.0085471', '-82.996108']}","{'road': 'James L Gillis Sr Memorial Highway', 'county': 'Laurens County', 'state': 'Georgia', 'postcode': '31019:31021', 'country': 'United States', 'country_code': 'us'}",United States,us,,Laurens County,Georgia,,James L Gillis Sr Memorial Highway,31019:31021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.5,-83
AL041851,            UNNAMED,18510824,1800,  , TS,33.4N,81.4W,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"33.4N, 81.4W","{'place_id': 100360701, 'licence': 'Data Â© OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 12116920, 'lat': '33.39809', 'lon': '-81.400378', 'display_name': 'Peachtree Lane, Williston, Barnwell County, South Carolina, 29853, United States', 'address': {'road': 'Peachtree Lane', 'village': 'Williston', 'county': 'Barnwell County', 'state': 'South Carolina', 'postcode': '29853', 'country': 'United States', 'country_code': 'us'}, 'boundingbox': ['33.397193', '33.39809', '-81.400378', '-81.395496']}","{'road': 'Peachtree Lane', 'village': 'Williston', 'county': 'Barnwell County', 'state': 'South Carolina', 'postcode': '29853', 'country': 'United States', 'country_code': 'us'}",United States,us,,Barnwell County,South Carolina,,Peachtree Lane,29853,,,,,,,Williston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.4,-81.4
AL041851,            UNNAMED,18510825,0,  , TS,34.0N,80.0W,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"34.0N, 80.0W","{'place_id': 99834417, 'licence': 'Data Â© OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 12547378, 'lat': '34.00105070303934', 'lon': '-80.0008132415991', 'display_name': 'Nero Circle, Sumter County, South Carolina, 29080, United States', 'address': {'road': 'Nero Circle', 'county': 'Sumter County', 'state': 'South Carolina', 'postcode': '29080', 'country': 'United States', 'country_code': 'us'}, 'boundingbox': ['33.9985615', '34.0032114', '-80.0025921', '-79.9894261']}","{'road': 'Nero Circle', 'county': 'Sumter County', 'state': 'South Carolina', 'postcode': '29080', 'country': 'United States', 'country_code': 'us'}",United States,us,,Sumter County,South Carolina,,Nero Circle,29080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,-80
AL041851,            UNNAMED,18510825,600,  , TS,34.8N,78.6W,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"34.8N, 78.6W","{'place_id': 402756, 'licence': 'Data Â© OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'node', 'osm_id': 158444398, 'lat': '34.7926703', 'lon': '-78.5866778', 'display_name': 'Ammon Ford, Bladen County, North Carolina, United States', 'address': {'hamlet': 'Ammon Ford', 'county': 'Bladen County', 'state': 'North Carolina', 'country': 'United States', 'country_code': 'us'}, 'boundingbox': ['34.7726703', '34.8126703', '-78.6066778', '-78.5666778']}","{'hamlet': 'Ammon Ford', 'county': 'Bladen County', 'state': 'North Carolina', 'country': 'United States', 'country_code': 'us'}",United States,us,,Bladen County,North Carolina,,,,,,,,,Ammon Ford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.8,-78.6
AL041851,            UNNAMED,18510825,1200,  , TS,35.8N,77.0W,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"35.8N, 77.0W","{'place_id': 282696668, 'licence': 'Data Â© OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 2528720, 'lat': '35.8134443', 'lon': '-77.0948861', 'display_name': 'Martin County, North Carolina, United States', 'address': {'county': 'Martin County', 'state': 'North Carolina', 'country': 'United States', 'country_code': 'us'}, 'boundingbox': ['35.6588539', '36.0718581', '-77.409122', '-76.7606005']}","{'county': 'Martin County', 'state': 'North Carolina', 'country': 'United States', 'country_code': 'us'}",United States,us,,Martin County,North Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.8,-77
AL061851,            UNNAMED,18511019,1500, L, TS,41.1N,71.7W,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"41.1N, 71.7W","{'place_id': 57148636, 'licence': 'Data Â© OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'node', 'osm_id': 5071774696, 'lat': '41.1643715', 'lon': '-71.5876466', 'display_name': 'Block Island, New Shoreham, South County, Rhode Island, 02807, United States', 'address': {'place': 'Block Island', 'town': 'New Shoreham', 'county': 'South County', 'state': 'Rhode Island', 'postcode': '02807', 'country': 'United States', 'country_code': 'us'}, 'boundingbox': ['40.8443715', '41.4843715', '-71.9076466', '-71.2676466']}","{'place': 'Block Island', 'town': 'New Shoreham', 'county': 'South County', 'state': 'Rhode Island', 'postcode': '02807', 'country': 'United States', 'country_code': 'us'}",United States,us,,South County,Rhode Island,,,2807,Block Island,,,,New Shoreham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.1,-71.7
AL061851,            UNNAMED,18511019,1800,  , TS,42.0N,71.6W,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"42.0N, 71.6W","{'place_id': 307818657, 'licence': 'Data Â© OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 19397204, 'lat': '41.99987431639826', 'lon': '-71.60084889488444', 'display_name': '10, Georgianna Avenue, North Smithfield, Providence County, Rhode Island, 02896, United States', 'address': {'house_number': '10', 'road': 'Georgianna Avenue', 'town': 'North Smithfield', 'county': 'Providence County', 'state': 'Rhode Island', 'postcode': '02896', 'country': 'United States', 'country_code': 'us'}, 'boundingbox': ['41.999824316398', '41.999924316398', '-71.600898894884', '-71.600798894884']}","{'house_number': '10', 'road': 'Georgianna Avenue', 'town': 'North Smithfield', 'county': 'Providence County', 'state': 'Rhode Island', 'postcode': '02896', 'country': 'United States', 'country_code': 'us'}",United States,us,,Providence County,Rhode Island,10,Georgianna Avenue,2896,,,,,North Smithfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,-71.6
AL011852,            UNNAMED,18520823,0,  , HU,24.7N,83.1W,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"24.7N, 83.1W","{'place_id': 282416250, 'licence': 'Data Â© OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 148838, 'lat': '39.7837304', 'lon': '-100.445882', 'display_name': 'United States', 'address': {'country': 'United States', 'country_code': 'us'}, 'boundingbox': ['-14.7608358', '71.6048217', '-180', '180']}","{'country': 'United States', 'country_code': 'us'}",United States,us,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.7,-83.1
AL011852,            UNNAMED,18520826,600, L, HU,30.2N,88.6W,100,961,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"30.2N, 88.6W","{'place_id': 282600001, 'licence': 'Data Â© OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 1832970, 'lat': '30.4899024', 'lon': '-88.6486325', 'display_name': 'Jackson County, Mississippi, United States', 'address': {'county': 'Jackson County', 'state': 'Mississippi', 'country': 'United States', 'country_code': 'us'}, 'boundingbox': ['30.1472736', '30.7360016', '-88.8844044', '-88.38667']}","{'county': 'Jackson County', 'state': 'Mississippi', 'country': 'United States', 'country_code': 'us'}",United States,us,,Jackson County,Mississippi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.2,-88.6
AL011852,            UNNAMED,18520826,1200,  , HU,30.6N,88.5W,90,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"30.6N, 88.5W","{'place_id': 282600001, 'licence': 'Data Â© OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 1832970, 'lat': '30.4899024', 'lon': '-88.6486325', 'display_name': 'Jackson County, Mississippi, United States', 'address': {'county': 'Jackson County', 'state': 'Mississippi', 'country': 'United States', 'country_code': 'us'}, 'boundingbox': ['30.1472736', '30.7360016', '-88.8844044', '-88.38667']}","{'county': 'Jackson County', 'state': 'Mississippi', 'country': 'United States', 'country_code': 'us'}",United States,us,,Jackson County,Mississippi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.6,-88.5
AL011852,            UNNAMED,18520826,1800,  , HU,31.2N,88.1W,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"31.2N, 88.1W","{'place_id': 98707018, 'licence': 'Data Â© OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 8887941, 'lat': '31.201871983106443', 'lon': '-88.10075610343694', 'display_name': 'Washington County, Alabama, 36553, United States', 'address': {'county': 'Washington County', 'state': 'Alabama', 'postcode': '36553', 'country': 'United States', 'country_code': 'us'}, 'boundingbox': ['31.192266', '31.206636', '-88.103715', '-88.093136']}","{'county': 'Washington County', 'state': 'Alabama', 'postcode': '36553', 'country': 'United States', 'country_code': 'us'}",United States,us,,Washington County,Alabama,,,36553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.2,-88.1
AL011852,            UNNAMED,18520827,0,  , TS,31.8N,87.4W,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"31.8N, 87.4W","{'place_id': 98018872, 'licence': 'Data Â© OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 7926370, 'lat': '31.801621388248893', 'lon': '-87.39761990879356', 'display_name': 'SR 41, Tinela, Monroe County, Alabama, 36461, United States', 'address': {'road': 'SR 41', 'hamlet': 'Tinela', 'county': 'Monroe County', 'state': 'Alabama', 'postcode': '36461', 'country': 'United States', 'country_code': 'us'}, 'boundingbox': ['31.548701', '31.8292969', '-87.422336', '-87.331741']}","{'road': 'SR 41', 'hamlet': 'Tinela', 'county': 'Monroe County', 'state': 'Alabama', 'postcode': '36461', 'country': 'United States', 'country_code': 'us'}",United States,us,,Monroe County,Alabama,,SR 41,36461,,,,,,Tinela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.8,-87.4
AL011852,            UNNAMED,18520827,600,  , TS,32.3N,86.3W,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"32.3N, 86.3W","{'place_id': 263477246, 'licence': 'Data Â© OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 844342717, 'lat': '32.3026259908472', 'lon': '-86.30497280658771', 'display_name': 'Norman Bridge Road, Wiley, Montgomery, Montgomery County, Alabama, 36105, United States', 'address': {'road': 'Norman Bridge Road', 'hamlet': 'Wiley', 'city': 'Montgomery', 'county': 'Montgomery County', 'state': 'Alabama', 'postcode': '36105', 'country': 'United States', 'country_code': 'us'}, 'boundingbox': ['32.3001583', '32.305641', '-86.3062785', '-86.302654']}","{'road': 'Norman Bridge Road', 'hamlet': 'Wiley', 'city': 'Montgomery', 'county': 'Montgomery County', 'state': 'Alabama', 'postcode': '36105', 'country': 'United States', 'country_code': 'us'}",United States,us,,Montgomery County,Alabama,,Norman Bridge Road,36105,,,Montgomery,,,Wiley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.3,-86.3
AL011852,            UNNAMED,18520827,1200,  , TS,32.8N,84.8W,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"32.8N, 84.8W","{'place_id': 296913827, 'licence': 'Data Â© OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 9315470, 'lat': '32.79981497412936', 'lon': '-84.80079825799034', 'display_name': '114, Sams Jones Road, Harris County, Georgia, 31823, United States', 'address': {'house_number': '114', 'road': 'Sams Jones Road', 'county': 'Harris County', 'state': 'Georgia', 'postcode': '31823', 'country': 'United States', 'country_code': 'us'}, 'boundingbox': ['32.799764974129', '32.799864974129', '-84.80084825799', '-84.80074825799']}","{'house_number': '114', 'road': 'Sams Jones Road', 'county': 'Harris County', 'state': 'Georgia', 'postcode': '31823', 'country': 'United States', 'country_code': 'us'}",United States,us,,Harris County,Georgia,114,Sams Jones Road,31823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.8,-84.8
AL011852,            UNNAMED,18520827,1800,  , TS,33.2N,82.8W,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,"33.2N, 82.8W","{'place_id': 99180114, 'licence': 'Data Â© OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 9526700, 'lat': '33.20086311215472', 'lon': '-82.79805372481944', 'display_name': 'Washington County, Georgia, United States', 'address': {'county': 'Washington County', 'state': 'Georgia', 'country': 'United States', 'country_code': 'us'}, 'boundingbox': ['33.198211', '33.209632', '-82.801321', '-82.794311']}","{'county': 'Washington County', 'state': 'Georgia', 'country': 'United States', 'country_code': 'us'}",United States,us,,Washington County,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.2,-82.8
